device_id,lot_id,active,installed_date,maintained_date,lat,lng,rotation_degrees
18,1,t,,,43.47197668,-80.53791897,-26.76691451
19,1,t,,,43.47198653,-80.53789214,-26.76691451
20,1,t,,,43.47199637,-80.53786531,-26.76691451
21,1,t,,,43.47200621,-80.53783848,-26.76691451
22,1,f,,,43.47201606,-80.53781166,-26.76691451
23,1,t,,,43.4720259,-80.53778483,-26.76691451
24,1,t,,,43.47203574,-80.537758,-26.76691451
25,1,t,,,43.47204559,-80.53773117,-26.76691451
26,1,t,,,43.47205543,-80.53770435,-26.76691451
27,1,t,,,43.47206528,-80.53767752,-26.76691451
28,1,f,,,43.47207512,-80.53765069,-26.76691451
29,1,t,,,43.47208496,-80.53762386,-26.76691451
30,1,t,,,43.47209481,-80.53759703,-26.76691451
31,1,t,,,43.47190661,-80.53786868,-26.76691451
32,1,f,,,43.47191645,-80.53784185,-26.76691451
33,1,f,,,43.4719263,-80.53781502,-26.76691451
34,1,t,,,43.47193614,-80.53778819,-26.76691451
35,1,t,,,43.47194598,-80.53776137,-26.76691451
36,1,f,,,43.47195583,-80.53773454,-26.76691451
37,1,f,,,43.47196567,-80.53770771,-26.76691451
38,1,t,,,43.47197551,-80.53768088,-26.76691451
39,1,t,,,43.47198536,-80.53765405,-26.76691451
40,1,t,,,43.4719952,-80.53762723,-26.76691451
41,1,t,,,43.47200505,-80.5376004,-26.76691451
42,1,t,,,43.47201489,-80.53757357,-26.76691451
43,1,t,,,43.47202473,-80.53754674,-26.76691451
